сборка 1ae7c58, сервер http://127.0.0.1:4415 (копия dist-r1); инструмент docs/reports/2026-09-26-7thserpent-pachka-2/instrumenty/rastyazhenie.js

/max-payne-3/ 3840x2160@2: рамка 2611×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×2.96
/max-payne-2/ 390x844@2: рамка 390×338, кандидат 1600w из 1200/1600/1920, нарисовано 1045, растяжение ×1.31
/max-payne-2/ 800x900@2: рамка 800×809, кандидат 1920w из 1200/1600/1920, нарисовано 2509, растяжение ×2.61
/max-payne-2/ 1024x768@2: рамка 1024×690, кандидат 1920w из 1200/1600/1920, нарисовано 2138, растяжение ×2.23
/max-payne-2/ 1280x720@2: рамка 870×647, кандидат 1920w из 1200/1600/1920, нарисовано 2006, растяжение ×2.09
/max-payne-2/ 1366x768@2: рамка 929×690, кандидат 1920w из 1200/1600/1920, нарисовано 2140, растяжение ×2.23
/max-payne-2/ 1440x900@2: рамка 979×809, кандидат 1920w из 1200/1600/1920, нарисовано 2507, растяжение ×2.61
/max-payne-2/ 1600x900@2: рамка 1088×809, кандидат 1920w из 1200/1600/1920, нарисовано 2506, растяжение ×2.61
/max-payne-2/ 1920x1080@2: рамка 1306×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×2.96
/max-payne-2/ 2560x1440@2: рамка 1741×919, кандидат 1920w из 1200/1600/1920, нарисовано 2847, растяжение ×2.97
/max-payne-2/ 3840x2160@2: рамка 2611×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×2.96
/max-payne-1/ 390x844@2: рамка 390×338, кандидат 1600w из 1200/1600/2400/3200, нарисовано 1045, растяжение ×1.31
/max-payne-1/ 800x900@2: рамка 800×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2509, растяжение ×1.57
/max-payne-1/ 1024x768@2: рамка 1024×690, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2138, растяжение ×1.34
/max-payne-1/ 1280x720@2: рамка 870×647, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2006, растяжение ×1.25
/max-payne-1/ 1366x768@2: рамка 929×690, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2140, растяжение ×1.34
/max-payne-1/ 1440x900@2: рамка 979×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2507, растяжение ×1.57
/max-payne-1/ 1600x900@2: рамка 1088×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2506, растяжение ×1.57
/max-payne-1/ 1920x1080@2: рамка 1306×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2849, растяжение ×1.78
/max-payne-1/ 2560x1440@2: рамка 1741×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2849, растяжение ×1.78
/max-payne-1/ 3840x2160@2: рамка 2611×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2847, растяжение ×1.78
/remake/ 390x844@2: рамка 390×338, кандидат 1280w из 1200/1280, нарисовано 450, растяжение ×0.7
/remake/ 800x900@2: рамка 800×809, кандидат 1280w из 1200/1280, нарисовано 1079, растяжение ×1.69
/remake/ 1024x768@2: рамка 1024×690, кандидат 1280w из 1200/1280, нарисовано 1024, растяжение ×1.6
/remake/ 1280x720@2: рамка 870×647, кандидат 1280w из 1200/1280, нарисовано 870, растяжение ×1.36
/remake/ 1366x768@2: рамка 929×690, кандидат 1280w из 1200/1280, нарисовано 929, растяжение ×1.45
/remake/ 1440x900@2: рамка 979×809, кандидат 1280w из 1200/1280, нарисовано 1079, растяжение ×1.69
/remake/ 1600x900@2: рамка 1088×809, кандидат 1280w из 1200/1280, нарисовано 1088, растяжение ×1.7
/remake/ 1920x1080@2: рамка 1306×919, кандидат 1280w из 1200/1280, нарисовано 1306, растяжение ×2.04
/remake/ 2560x1440@2: рамка 1741×919, кандидат 1280w из 1200/1280, нарисовано 1741, растяжение ×2.72
/remake/ 3840x2160@2: рамка 2611×919, кандидат 1280w из 1200/1280, нарисовано 2611, растяжение ×4.08
/max-payne-3/ 390x844@3: рамка 390×338, кандидат 1920w из 1200/1600/1920, нарисовано 1048, растяжение ×1.64
/max-payne-3/ 800x900@3: рамка 800×809, кандидат 1920w из 1200/1600/1920, нарисовано 2509, растяжение ×3.92
/max-payne-3/ 1024x768@3: рамка 1024×690, кандидат 1920w из 1200/1600/1920, нарисовано 2138, растяжение ×3.34
/max-payne-3/ 1280x720@3: рамка 870×647, кандидат 1920w из 1200/1600/1920, нарисовано 2006, растяжение ×3.13
/max-payne-3/ 1366x768@3: рамка 929×690, кандидат 1920w из 1200/1600/1920, нарисовано 2140, растяжение ×3.34
/max-payne-3/ 1440x900@3: рамка 979×809, кандидат 1920w из 1200/1600/1920, нарисовано 2507, растяжение ×3.92
/max-payne-3/ 1600x900@3: рамка 1088×809, кандидат 1920w из 1200/1600/1920, нарисовано 2506, растяжение ×3.92
/max-payne-3/ 1920x1080@3: рамка 1306×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×4.45
/max-payne-3/ 2560x1440@3: рамка 1741×919, кандидат 1920w из 1200/1600/1920, нарисовано 2847, растяжение ×4.45
/max-payne-3/ 3840x2160@3: рамка 2611×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×4.45
/max-payne-2/ 390x844@3: рамка 390×338, кандидат 1920w из 1200/1600/1920, нарисовано 1048, растяжение ×1.64
/max-payne-2/ 800x900@3: рамка 800×809, кандидат 1920w из 1200/1600/1920, нарисовано 2509, растяжение ×3.92
/max-payne-2/ 1024x768@3: рамка 1024×690, кандидат 1920w из 1200/1600/1920, нарисовано 2138, растяжение ×3.34
/max-payne-2/ 1280x720@3: рамка 870×647, кандидат 1920w из 1200/1600/1920, нарисовано 2006, растяжение ×3.13
/max-payne-2/ 1366x768@3: рамка 929×690, кандидат 1920w из 1200/1600/1920, нарисовано 2140, растяжение ×3.34
/max-payne-2/ 1440x900@3: рамка 979×809, кандидат 1920w из 1200/1600/1920, нарисовано 2507, растяжение ×3.92
/max-payne-2/ 1600x900@3: рамка 1088×809, кандидат 1920w из 1200/1600/1920, нарисовано 2506, растяжение ×3.92
/max-payne-2/ 1920x1080@3: рамка 1306×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×4.45
/max-payne-2/ 2560x1440@3: рамка 1741×919, кандидат 1920w из 1200/1600/1920, нарисовано 2847, растяжение ×4.45
/max-payne-2/ 3840x2160@3: рамка 2611×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×4.45
/max-payne-1/ 390x844@3: рамка 390×338, кандидат 2400w из 1200/1600/2400/3200, нарисовано 1049, растяжение ×1.31
/max-payne-1/ 800x900@3: рамка 800×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2509, растяжение ×2.35
/max-payne-1/ 1024x768@3: рамка 1024×690, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2138, растяжение ×2
/max-payne-1/ 1280x720@3: рамка 870×647, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2006, растяжение ×1.88
/max-payne-1/ 1366x768@3: рамка 929×690, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2140, растяжение ×2.01
/max-payne-1/ 1440x900@3: рамка 979×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2507, растяжение ×2.35
/max-payne-1/ 1600x900@3: рамка 1088×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2506, растяжение ×2.35
/max-payne-1/ 1920x1080@3: рамка 1306×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2849, растяжение ×2.67
/max-payne-1/ 2560x1440@3: рамка 1741×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2849, растяжение ×2.67
/max-payne-1/ 3840x2160@3: рамка 2611×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2847, растяжение ×2.67
/remake/ 390x844@3: рамка 390×338, кандидат 1280w из 1200/1280, нарисовано 450, растяжение ×1.05
/remake/ 800x900@3: рамка 800×809, кандидат 1280w из 1200/1280, нарисовано 1079, растяжение ×2.53
/remake/ 1024x768@3: рамка 1024×690, кандидат 1280w из 1200/1280, нарисовано 1024, растяжение ×2.4
/remake/ 1280x720@3: рамка 870×647, кандидат 1280w из 1200/1280, нарисовано 870, растяжение ×2.04
/remake/ 1366x768@3: рамка 929×690, кандидат 1280w из 1200/1280, нарисовано 929, растяжение ×2.18
/remake/ 1440x900@3: рамка 979×809, кандидат 1280w из 1200/1280, нарисовано 1079, растяжение ×2.53
/remake/ 1600x900@3: рамка 1088×809, кандидат 1280w из 1200/1280, нарисовано 1088, растяжение ×2.55
/remake/ 1920x1080@3: рамка 1306×919, кандидат 1280w из 1200/1280, нарисовано 1306, растяжение ×3.06
/remake/ 2560x1440@3: рамка 1741×919, кандидат 1280w из 1200/1280, нарисовано 1741, растяжение ×4.08
/remake/ 3840x2160@3: рамка 2611×919, кандидат 1280w из 1200/1280, нарисовано 2611, растяжение ×6.12

Сводка — растяжение (страница × окно), DPR 1 / 2 / 3:
окно       /max-payne-3/       /max-payne-2/       /max-payne-1/       /remake/            
390x844    0.87 / 1.31 / 1.64  0.87 / 1.31 / 1.64  0.87 / 1.31 / 1.31  0.38 / 0.70 / 1.05  
800x900    1.57 / 2.61 / 3.92  1.57 / 2.61 / 3.92  1.57 / 1.57 / 2.35  0.84 / 1.69 / 2.53  
1024x768   1.11 / 2.23 / 3.34  1.11 / 2.23 / 3.34  0.89 / 1.34 / 2.00  0.80 / 1.60 / 2.40  
1280x720   1.04 / 2.09 / 3.13  1.04 / 2.09 / 3.13  0.84 / 1.25 / 1.88  0.68 / 1.36 / 2.04  
1366x768   1.11 / 2.23 / 3.34  1.11 / 2.23 / 3.34  0.89 / 1.34 / 2.01  0.73 / 1.45 / 2.18  
1440x900   1.31 / 2.61 / 3.92  1.31 / 2.61 / 3.92  0.78 / 1.57 / 2.35  0.84 / 1.69 / 2.53  
1600x900   1.31 / 2.61 / 3.92  1.31 / 2.61 / 3.92  0.78 / 1.57 / 2.35  0.85 / 1.70 / 2.55  
1920x1080  1.48 / 2.96 / 4.45  1.48 / 2.96 / 4.45  0.89 / 1.78 / 2.67  1.02 / 2.04 / 3.06  
2560x1440  1.48 / 2.97 / 4.45  1.48 / 2.97 / 4.45  0.89 / 1.78 / 2.67  1.36 / 2.72 / 4.08  
3840x2160  1.48 / 2.96 / 4.45  1.48 / 2.96 / 4.45  0.89 / 1.78 / 2.67  2.04 / 4.08 / 6.12  
